SeqNum,@id,@notation,@status,dct:description,rdf:type,rdfs:label,skos:notation,I-ADOPT Type,Comment,OoI,Property,Constraints
1,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/39>,39,stable,'Density of the atmosphere.'@en,skos:Concept,Atmospheric density,'39',Property,,,Atmospheric density,
2,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/44>,44,stable,''@en,skos:Concept,Integrated air samples,'44',,with Constraint,,,
3,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/56>,56,stable,''@en,skos:Concept,Special phenomena,'56',,need clarification,,,
4,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/57>,57,stable,''@en,skos:Concept,State of ground,'57',,need clarification,,,
5,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/179>,179,stable,"'Fraction of the sky covered by clouds of a particular type or combination. It can refer to a genus, species, variety, layer, or a certain combination of clouds. Also, see \'cloud cover\'.'@en",skos:Concept,Cloud amount,'179',Property,?,cloud,area fraction,
6,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/180>,180,stable,"'The amount of sky estimated to be covered by a specified cloud type (partial cloud amount), or by all cloud types (total cloud amount). In either case, the estimate is made to the nearest okta (eighth) and is reported on a scale which is essentially one of the nearest eighth, except that figures 0 and 8 on the scale signify a completely clear and cloudy sky, respectively, with consequent adjustment to the adjacent 1 and 7 okta intervals.'@en",skos:Concept,Cloud cover,'180',Property,?,cloud,area fraction,
7,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/181>,181,stable,"'The area weighted mean radius of liquid water drops, assimilated to spheres of the same volume.'@en",skos:Concept,Cloud drop effective radius,'181',OoI&Property,,cloud,effective radius,
8,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/182>,182,stable,'Number of cloud hydrometeors (or cloud particles) per unit volume. Cloud hydrometeors refer to liquid and/or ice cloud particles.'@en,skos:Concept,Cloud hydrometeor concentration,'182',OoI&Property,drops,cloud,concentration,
9,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/183>,183,stable,"'An ensemble mean size of cloud hydrometeors derived from size distribution. Cloud hydrometeors refer to liquid and/or ice cloud particles. For liquid phase clouds, the effective radius is defined as the area weighted mean radius of liquid water drops, assimilated to spheres of the same volume. The effective radius of cloud ice particles has been defined in the literature in different ways. Clear and detailed definition should be provided as how this parameter is derived.'@en",skos:Concept,Effective radius of cloud hydrometeors,'183',OoI&Property,hydrometeors,cloud,effective radius,
10,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/186>,186,stable,'Depth of the atmospheric layer in cloud where liquid-solid states transform into each other.'@en,skos:Concept,Melting layer depth in clouds,'186',Property,with Constraint,,Melting layer depth in clouds ?,
11,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/188>,188,stable,'Polar Stratospheric Clouds occurrence. - Accuracy expressed as Hit Rate [HR] and False Alarm Rate [FAR]. Simplified: [FAR/HR]'@en,skos:Concept,PSC occurrence,'188',Property,,PSC,Occurrence ?,
12,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/192>,192,stable,"'IUPAC: methane, PubChem CID: 297, CAS Number: 74-82-8, in gas phase'@en",skos:Concept,CH4 (methane),'192',OoI,,CH4 (methane),,
13,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/193>,193,stable,"'IUPAC: methane C-13, PubChem CID: 105026, CAS Number: 14762-74-4, in gas phase'@en",skos:Concept,"CH4 (methane, C-13)",'193',OoI,,"CH4 (methane, C-13)",,
14,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/194>,194,stable,"'IUPAC: carbon dioxide, PubChem CID: 280, CAS Number: 124-38-9, in gas phase'@en",skos:Concept,CO2 (carbon dioxide),'194',OoI,,CO2 (carbon dioxide),,
15,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/195>,195,stable,"'IUPAC: n/a, PubChem CID: 10129882, CAS Number: 1111-72-4, in gas phase'@en",skos:Concept,"CO2 (carbon dioxide, C-13)",'195',OoI,,"CO2 (carbon dioxide, C-13)",,
16,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/196>,196,stable,'CO2 with O-18 isotope'@en,skos:Concept,CO2 [O-18],'196',OoI,,CO2 [O-18],,
17,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/201>,201,stable,"'IUPAC: nitrous oxide, PubChem CID: 948, CAS Number: 10024-97-2, in gas phase'@en",skos:Concept,N2O (nitrous oxide),'201',OoI,,N2O (nitrous oxide),,
18,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/203>,203,stable,"'IUPAC: hexafluoro-Î»6-sulfane, PubChem CID: 17358, CAS Number: 2551-62-4, in gas phase'@en",skos:Concept,SF6 (sulfur hexafluoride),'203',OoI,,SF6 (sulfur hexafluoride),,
19,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/204>,204,stable,"'IUPAC: sulfuryl difluoride, PubChem CID: 17607, CAS Number: 2699-79-8, in gas phase'@en",skos:Concept,SO2F2 (sulfuryl fluoride),'204',OoI,,SO2F2 (sulfuryl fluoride),,
20,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/205>,205,stable,"'IUPAC: molecular hydrogen, PubChem CID: 783, CAS Number: 1333-74-0, in gas phase'@en",skos:Concept,H2 (hydrogen molecule),'205',OoI,,H2 (hydrogen molecule),,
21,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/206>,206,stable,"'IUPAC: oxidane, PubChem CID: 962, CAS Number: 7732-18-5, in gas phase'@en",skos:Concept,H2O (as a chemical species),'206',OoI,,H2O (as a chemical species),,
22,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/207>,207,stable,"'IUPAC: n/a, PubChem CID: 139859, CAS Number: 14940-63-7, in gas phase'@en",skos:Concept,HDO (as a chemical species),'207',OoI,,HDO (as a chemical species),,
23,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210>,210,stable,''@en,skos:Concept,Amount of precipitation,'210',OoI&Property,,Precipitation,Intergrated amount ?,
24,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/211>,211,stable,''@en,skos:Concept,Duration of precipitation,'211',OoI&Property,,Precipitation,Duration,
25,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/212>,212,stable,''@en,skos:Concept,Intensity of precipitation,'212',OoI&Property,,Precipitation,Intensity,
26,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/213>,213,stable,''@en,skos:Concept,Occurrence of precipitation during last period (yes/no),'213',OoI&Property,,Precipitation,Occurrence ?,
27,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/214>,214,stable,''@en,skos:Concept,Rate of ice accretion,'214',Property,?,,Rate of ice accretion ?,
28,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/215>,215,stable,''@en,skos:Concept,Type of precipitation,'215',OoI&Property,,Precipitation,Type ?,
29,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/216>,216,stable,''@en,skos:Concept,Atmospheric pressure,'216',Property,,,Atmospheric pressure,
30,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/217>,217,stable,"'The pressure characteristic is an indication of how the pressure has changed during that period of time, for example, decreasing then increasing, or increasing and then increasing more rapidly.'@en",skos:Concept,Characteristic of pressure tendency,'217',Property,Property of Property,,Pressure tendency,
31,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/218>,218,stable,"'Pressure tendency is the character and amount of atmospheric pressure change for a three-hour or other specified period ending at the time of observation. Pressure tendency is composed of two parts, namely the characteristic of pressure tendency and amount of pressure tendency.'@en",skos:Concept,Pressure tendency,'218',Property,Property of Property,,Pressure tendency,
32,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/219>,219,stable,"'IUPAC: beryllium-7, PubChem CID: 6335489, CAS Number: 13966-02-4'@en",skos:Concept,Beryllium [Be-7],'219',OoI,,Beryllium [Be-7],,
33,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/220>,220,stable,'CO2 with C-14 isotope'@en,skos:Concept,CO2 [C-14],'220',OoI,,CO2 [C-14],,
34,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/221>,221,stable,"'IUPAC: krypton-85, PubChem CID: 104816, CAS Number: 13983-27-2'@en",skos:Concept,Krypton [Kr-85],'221',OoI,,Krypton [Kr-85],,
35,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/222>,222,stable,"'IUPAC: lead-210, PubChem CID: 6328175, CAS Number: 14255-04-0'@en",skos:Concept,Lead [Pb-210],'222',OoI,,Lead [Pb-210],,
36,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/223>,223,stable,"'IUPAC: radon-222, PubChem CID: 61773, CAS Number: 14859-67-7'@en",skos:Concept,Radon [Rn-222],'223',OoI,,Radon [Rn-222],,
37,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/224>,224,stable,''@en,skos:Concept,Air temperature (at specified distance from reference surface),'224',Property,,Air,Temperature,
38,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/225>,225,stable,''@en,skos:Concept,Dew-point temperature (at specified distance from reference surface),'225',Property,,Air,Dew-Point Temperature,
39,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/226>,226,stable,''@en,skos:Concept,"Extreme temperature (min, max) (at specified distance from reference surface)",'226',Property,Property of Property,Air,Temperature,
40,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/229>,229,stable,''@en,skos:Concept,Runway visual range,'229',Property,,Air,Visibility,Runway
