WMO306CD_efrs,QualityFlagSysURL_efrs,Path_e,Name_e,Definition_e
AFG,,,Afghanistan,Afghanistan
ALB,,,Albania,Albania
DZA,,,Algeria,Algeria
AGO,,,Angola,Angola
AIA,,,Anguilla,Anguilla
ATG,,,Antigua and Barbuda,Antigua and Barbuda
ARG,,,Argentina,Argentina
ARM,,,Armenia,Armenia
AUS,,,Australia,Australia
AUT,,,Austria,Austria
AZE,,,Azerbaijan,Azerbaijan
BHS,,,Bahamas,Bahamas
BHR,,,Bahrain,Bahrain
BGD,,,Bangladesh,Bangladesh
BRB,,,Barbados,Barbados
BLR,,,Belarus,Belarus
BEL,,,Belgium,Belgium
BLZ,,,Belize,Belize
BEN,,,Benin,Benin
BMU,,,Bermuda,Bermuda
BTN,,,Bhutan,Bhutan
BOL,,,"Bolivia, Plurinational State of","Bolivia, Plurinational State of"
BIH,,,Bosnia and Herzegovina,Bosnia and Herzegovina
BWA,,,Botswana,Botswana
BRA,,,Brazil,Brazil
BCT,,,British Caribbean Territories,British Caribbean Territories
VGB,,,British Virgin Islands,British Virgin Islands
BRN,,,Brunei Darussalam,Brunei Darussalam
BGR,,,Bulgaria,Bulgaria
BFA,,,Burkina Faso,Burkina Faso
BDI,,,Burundi,Burundi
CPV,,,Cabo Verde,Cabo Verde
KHM,,,Cambodia,Cambodia
CMR,,,Cameroon,Cameroon
CAN,,,Canada,Canada
CYM,,,Cayman Islands,Cayman Islands
CAF,,,Central African Republic,Central African Republic
TCD,,,Chad,Chad
CHL,,,Chile,Chile
CHN,,,China,China
CXR,,,Christmas Island,Christmas Island
CCK,,,Cocos (Keeling) Islands,Cocos (Keeling) Islands
COL,,,Colombia,Colombia
COM,,,Comoros,Comoros
COG,,,Congo,Congo
COD,,,"Congo, Democratic Republic of the","Congo, Democratic Republic of the"
COK,,,Cook Islands,Cook Islands
CRI,,,Costa Rica,Costa Rica
CIV,,,Côte d'Ivoire,Côte d'Ivoire
HRV,,,Croatia,Croatia
CUB,,,Cuba,Cuba
CUW,,,Curacao,Curacao
CSM,,,Curacao and Sint Maarten,Curacao and Sint Maarten
