notation,path,domains,tags,name,description
39,\Atmosphere,,,Atmospheric density,Density of the atmosphere.
44,\Atmosphere,,,Integrated air samples,
56,\Atmosphere,,,Special phenomena,
57,\Atmosphere,,,State of ground,
179,\Atmosphere\Clouds,,,Cloud amount,"Fraction of the sky covered by clouds of a particular type or combination. It can refer to a genus, species, variety, layer, or a certain combination of clouds. Also, see 'cloud cover'."
180,\Atmosphere\Clouds,,,Cloud cover,"The amount of sky estimated to be covered by a specified cloud type (partial cloud amount), or by all cloud types (total cloud amount). In either case, the estimate is made to the nearest okta (eighth) and is reported on a scale which is essentially one of the nearest eighth, except that figures 0 and 8 on the scale signify a completely clear and cloudy sky, respectively, with consequent adjustment to the adjacent 1 and 7 okta intervals."
181,\Atmosphere\Clouds,,,Cloud drop effective radius,"The area weighted mean radius of liquid water drops, assimilated to spheres of the same volume."
182,\Atmosphere\Clouds,,,Cloud hydrometeor concentration,Number of cloud hydrometeors (or cloud particles) per unit volume. Cloud hydrometeors refer to liquid and/or ice cloud particles.
183,\Atmosphere\Clouds,,,Effective radius of cloud hydrometeors,"An ensemble mean size of cloud hydrometeors derived from size distribution. Cloud hydrometeors refer to liquid and/or ice cloud particles. For liquid phase clouds, the effective radius is defined as the area weighted mean radius of liquid water drops, assimilated to spheres of the same volume. The effective radius of cloud ice particles has been defined in the literature in different ways. Clear and detailed definition should be provided as how this parameter is derived."
186,\Atmosphere\Clouds,,,Melting layer depth in clouds,Depth of the atmospheric layer in cloud where liquid-solid states transform into each other.
188,\Atmosphere\Clouds,,,PSC occurrence,Polar Stratospheric Clouds occurrence. - Accuracy expressed as Hit Rate [HR] and False Alarm Rate [FAR]. Simplified: [FAR/HR] 
192,\Atmosphere\Gas phase\Greenhouse Gas,,,CH4 (methane),"IUPAC: methane, PubChem CID: 297, CAS Number: 74-82-8, in gas phase"
193,\Atmosphere\Gas phase\Greenhouse Gas,,,"CH4 (methane, C-13)","IUPAC: methane C-13, PubChem CID: 105026, CAS Number: 14762-74-4, in gas phase"
194,\Atmosphere\Gas phase\Greenhouse Gas,,,CO2 (carbon dioxide),"IUPAC: carbon dioxide, PubChem CID: 280, CAS Number: 124-38-9, in gas phase"
195,\Atmosphere\Gas phase\Greenhouse Gas,,,"CO2 (carbon dioxide, C-13)","IUPAC: n/a, PubChem CID: 10129882, CAS Number: 1111-72-4, in gas phase"
196,\Atmosphere\Gas phase\Greenhouse Gas,,,CO2 [O-18],CO2 with O-18 isotope
201,\Atmosphere\Gas phase\Greenhouse Gas,,,N2O (nitrous oxide),"IUPAC: nitrous oxide, PubChem CID: 948, CAS Number: 10024-97-2, in gas phase"
203,\Atmosphere\Gas phase\Greenhouse Gas,,,SF6 (sulfur hexafluoride),"IUPAC: hexafluoro-λ6-sulfane, PubChem CID: 17358, CAS Number: 2551-62-4, in gas phase"
204,\Atmosphere\Gas phase\Greenhouse Gas,,,SO2F2 (sulfuryl fluoride),"IUPAC: sulfuryl difluoride, PubChem CID: 17607, CAS Number: 2699-79-8, in gas phase"
205,\Atmosphere\Gas phase\Other Gas,,,H2 (hydrogen molecule),"IUPAC: molecular hydrogen, PubChem CID: 783, CAS Number: 1333-74-0, in gas phase"
