notation,QualityFlagSysURL_efrs,path,name,description
barren,,,Barren or sparsely vegetated,NA
closedShrublands,,,Closed shrublands,NA
mosaic,,,Cropland/Natural vegetation mosaic,NA
croplands,,,Croplands,NA
deciduousBroadleafForest,,,Deciduous Broadleaf forest,NA
deciduousNeedleleafForest,,,Deciduous Needleleaf forest,NA
evergreenBroadleafForest,,,Evergreen Broadleaf forest,NA
evergreenNeedleleafForest,,,Evergreen Needleleaf forest,NA
grasslands,,,Grasslands,NA
mixedForest,,,Mixed forest,NA
inapplicable,,,(inapplicable),None of the codes in the table are applicable in the context of this particular observation.
openShrublands,,,Open shrublands,NA
permanentWetlands,,,Permanent wetlands,NA
savannas,,,Savannas,NA
snowIce,,,Snow and ice,NA
unknown,,,(unknown),NA
urbanBuiltup,,,Urban and built-up,NA
water,,,Water,NA
woodySavannas,,,Woody savannas,NA
