notation,name,description
1,UTC+01:00,"Timezone with a UTC offset of UTC+01:00 hours. Locations in this timezone include Africa/Ndjamena, Africa/Malabo, Arctic/Longyearbyen, Europe/Skopje, Eire, Europe/Stockholm, Europe/Tirane, Europe/Vaduz, Africa/Niamey, Europe/Vatican, CET, Europe/Sarajevo, Europe/Warsaw, Europe/Zagreb, Europe/Luxembourg, Atlantic/Jan_Mayen, Europe/Vienna, Europe/Brussels, Europe/San_Marino, Europe/Ljubljana, Africa/Porto-Novo, Europe/Gibraltar, Europe/Dublin, Europe/Copenhagen, Europe/Busingen, Europe/Budapest, Europe/Malta, Europe/Bratislava, Etc/GMT-1, Europe/Berlin, Africa/Tunis, Europe/Andorra, Europe/Amsterdam, Europe/Monaco, Europe/Oslo, Europe/Paris, Europe/Podgorica, MET, Europe/Rome, Europe/Belgrade, Europe/Prague, Europe/Zurich, Europe/Madrid, Africa/Ceuta, Poland, Africa/Brazzaville, Africa/Luanda, Africa/Bangui, Africa/Kinshasa, Africa/Algiers, Africa/Lagos, Africa/Libreville, Africa/El_Aaiun, Africa/Douala, Africa/Casablanca."
2,UTC+02:00,"Timezone with a UTC offset of UTC+02:00 hours. Locations in this timezone include EET, Etc/GMT-2, Egypt, Europe/Tallinn, Europe/Sofia, Asia/Amman, Asia/Beirut, Europe/Riga, Europe/Tiraspol, Europe/Mariehamn, Europe/Nicosia, Europe/Uzhgorod, Africa/Bujumbura, Africa/Windhoek, Asia/Nicosia, Europe/Athens, Africa/Blantyre, Europe/Bucharest, Europe/Chisinau, Africa/Tripoli, Europe/Helsinki, Europe/Kaliningrad, Europe/Kiev, Asia/Jerusalem, Africa/Cairo, Asia/Tel_Aviv, Africa/Lubumbashi, Europe/Vilnius, Africa/Mbabane, Africa/Maseru, Africa/Maputo, Asia/Damascus, Africa/Kigali, Africa/Khartoum, Asia/Gaza, Israel, Africa/Juba, Africa/Johannesburg, Asia/Famagusta, Africa/Harare, Africa/Gaborone, Africa/Lusaka, Asia/Hebron, Libya, Europe/Zaporozhye."
3,UTC+03:00,"Timezone with a UTC offset of UTC+03:00 hours. Locations in this timezone include W-SU, Europe/Kirov, Europe/Istanbul, Etc/GMT-3, Indian/Comoro, Asia/Istanbul, Europe/Minsk, Indian/Mayotte, Asia/Kuwait, Africa/Asmera, Asia/Qatar, Africa/Asmara, Africa/Addis_Ababa, Europe/Moscow, Turkey, Indian/Antananarivo, Asia/Baghdad, Africa/Djibouti, Asia/Bahrain, Asia/Riyadh, Antarctica/Syowa, Europe/Simferopol, Africa/Nairobi, Asia/Aden, Africa/Dar_es_Salaam, Europe/Volgograd, Africa/Kampala, Africa/Mogadishu."
3.5,UTC+03:30,"Timezone with a UTC offset of UTC+03:30 hours. Locations in this timezone include Iran, Asia/Tehran."
4,UTC+04:00,"Timezone with a UTC offset of UTC+04:00 hours. Locations in this timezone include Asia/Tbilisi, Europe/Saratov, Asia/Dubai, Asia/Muscat, Europe/Samara, Europe/Astrakhan, Indian/Reunion, Asia/Baku, Indian/Mauritius, Europe/Ulyanovsk, Indian/Mahe, Etc/GMT-4, Asia/Yerevan."
4.5,UTC+04:30,Timezone with a UTC offset of UTC+04:30 hours. Locations in this timezone include Asia/Kabul.
5,UTC+05:00,"Timezone with a UTC offset of UTC+05:00 hours. Locations in this timezone include Asia/Karachi, Asia/Yekaterinburg, Asia/Tashkent, Antarctica/Mawson, Asia/Dushanbe, Asia/Qyzylorda, Asia/Samarkand, Etc/GMT-5, Asia/Oral, Indian/Kerguelen, Asia/Atyrau, Asia/Aqtau, Asia/Aqtobe, Indian/Maldives, Asia/Ashkhabad, Asia/Ashgabat."
5.5,UTC+05:30,"Timezone with a UTC offset of UTC+05:30 hours. Locations in this timezone include Asia/Calcutta, Asia/Colombo, Asia/Kolkata."
5.75,UTC+05:45,"Timezone with a UTC offset of UTC+05:45 hours. Locations in this timezone include Asia/Katmandu, Asia/Kathmandu."
6,UTC+06:00,"Timezone with a UTC offset of UTC+06:00 hours. Locations in this timezone include Indian/Chagos, Asia/Omsk, Asia/Qostanay, Asia/Urumqi, Asia/Kashgar, Asia/Thimphu, Asia/Thimbu, Etc/GMT-6, Asia/Dhaka, Asia/Dacca, Asia/Bishkek, Asia/Almaty, Antarctica/Vostok."
6.5,UTC+06:30,"Timezone with a UTC offset of UTC+06:30 hours. Locations in this timezone include Indian/Cocos, Asia/Rangoon, Asia/Yangon."
7,UTC+07:00,"Timezone with a UTC offset of UTC+07:00 hours. Locations in this timezone include Asia/Novokuznetsk, Indian/Christmas, Asia/Pontianak, Asia/Saigon, Antarctica/Davis, Asia/Ho_Chi_Minh, Asia/Tomsk, Asia/Phnom_Penh, Asia/Vientiane, Asia/Barnaul, Asia/Bangkok, Asia/Novosibirsk, Etc/GMT-7, Asia/Hovd, Asia/Jakarta, Asia/Krasnoyarsk."
8,UTC+08:00,"Timezone with a UTC offset of UTC+08:00 hours. Locations in this timezone include Hongkong, Asia/Taipei, Asia/Ulan_Bator, Asia/Ujung_Pandang, Asia/Ulaanbaatar, Asia/Harbin, Asia/Hong_Kong, Etc/GMT-8, Asia/Singapore, PRC, Asia/Manila, Asia/Makassar, Asia/Macau, Asia/Macao, Asia/Brunei, Asia/Choibalsan, Asia/Chongqing, Asia/Chungking, Asia/Kuching, Asia/Kuala_Lumpur, Asia/Shanghai, Australia/West, Asia/Irkutsk, Singapore, ROC, Australia/Perth."
8.75,UTC+08:45,Timezone with a UTC offset of UTC+08:45 hours. Locations in this timezone include Australia/Eucla.
9,UTC+09:00,"Timezone with a UTC offset of UTC+09:00 hours. Locations in this timezone include Asia/Tokyo, Asia/Khandyga, ROK, Pacific/Palau, Asia/Pyongyang, Asia/Seoul, Asia/Jayapura, Asia/Yakutsk, Etc/GMT-9, Japan, Asia/Dili, Asia/Chita."
9.5,UTC+09:30,"Timezone with a UTC offset of UTC+09:30 hours. Locations in this timezone include Australia/Yancowinna, Australia/North, Australia/Broken_Hill, Australia/Adelaide, Australia/Darwin, Australia/South."
10,UTC+10:00,"Timezone with a UTC offset of UTC+10:00 hours. Locations in this timezone include Asia/Vladivostok, Pacific/Saipan, Pacific/Port_Moresby, Australia/Hobart, Australia/Melbourne, Pacific/Truk, Australia/Queensland, Australia/NSW, Australia/Sydney, Australia/Tasmania, Australia/Victoria, Etc/GMT-10, Antarctica/Macquarie, Antarctica/DumontDUrville, Pacific/Yap, Australia/Currie, Australia/Lindeman, Australia/ACT, Asia/Ust-Nera, Australia/Brisbane, Australia/Canberra, Pacific/Chuuk, Pacific/Guam."
10.5,UTC+10:30,"Timezone with a UTC offset of UTC+10:30 hours. Locations in this timezone include Australia/LHI, Australia/Lord_Howe."
11,UTC+11:00,"Timezone with a UTC offset of UTC+11:00 hours. Locations in this timezone include Antarctica/Casey, Pacific/Efate, Asia/Magadan, Etc/GMT-11, Asia/Sakhalin, Pacific/Guadalcanal, Pacific/Pohnpei, Asia/Srednekolymsk, Pacific/Noumea, Pacific/Norfolk, Pacific/Kosrae, Pacific/Ponape, Pacific/Bougainville."
12,UTC+12:00,"Timezone with a UTC offset of UTC+12:00 hours. Locations in this timezone include Etc/GMT-12, NZ, Kwajalein, Antarctica/McMurdo, Antarctica/South_Pole, Asia/Anadyr, Pacific/Auckland, Asia/Kamchatka, Pacific/Majuro, Pacific/Tarawa, Pacific/Nauru, Pacific/Kwajalein, Pacific/Fiji, Pacific/Wallis, Pacific/Wake, Pacific/Funafuti."
12.75,UTC+12:45,"Timezone with a UTC offset of UTC+12:45 hours. Locations in this timezone include Pacific/Chatham, NZ-CHAT."
13,UTC+13:00,"Timezone with a UTC offset of UTC+13:00 hours. Locations in this timezone include Pacific/Kanton, Pacific/Enderbury, Etc/GMT-13, Pacific/Tongatapu, Pacific/Apia, Pacific/Fakaofo."
14,UTC+14:00,"Timezone with a UTC offset of UTC+14:00 hours. Locations in this timezone include Pacific/Kiritimati, Etc/GMT-14."
