#,WMO306CD_efrs,QualityFlagSysURL_efrs,Path_e,Name_e,Definition_e
1,gaw,,>WIGOS>GAW,GAW,Global Atmosphere Watch
2,gcos,,>Co-sponsored>GCOS,GCOS,Global Climate Observing System
3,gcw,,>WIGOS>GCW,GCW,Global Cryosphere Watch
4,gos,,>WIGOS>GOS,GOS,Global Observing System
5,gawContributing,,>WIGOS>GAW>GAW Contributing networks,GAW Contributing networks,Networks contributing to GAW that have signed an agreement with GAW
7,globalAOD,,>WIGOS>GAW>GAW Other elements>AOD,AOD,Aerosol Optical Depth
8,gawPFR,,>WIGOS>GAW>GAW Contributing networks>GAW-PFR,GAW-PFR,GAW Precision Filter Radiometer Network
9,gruan,,>Co-sponsored>GCOS>GRUAN,GRUAN,GCOS Reference Upper-Air Network
10,gsn,,>Co-sponsored>GCOS>GSN,GSN,GCOS Surface Network
11,guan,,>Co-sponsored>GCOS>GUAN,GUAN,GCOS Upper-Air Network
12,amdar,,>WIGOS>GOS>GOS Other elements>AMDAR,AMDAR,Aircraft Meteorological Data Relay
13,argo,,>Co-sponsored>GOOS>Argo,Argo,IOC/WMO Argo program of drifting sub-surface floats
14,asap,,>Co-sponsored>GOOS>SOT>ASAP,ASAP,GOS Automated Shipboard Upper-Air Sounding Program
15,wigos,,>WIGOS,WIGOS,WMO Integrated Observing System components
16,rbsn,,>WIGOS>GOS>GOS Surface networks>RBSN,RBSN,GOS Regional Basic Synoptic Networks
17,coSponsored,,>Co-sponsored,Co-sponsored,WMO contributions to co-sponsored observing systems
19,vos,,>Co-sponsored>GOOS>SOT>VOS,VOS,GOS Voluntary Observing Ship Program
20,wro,,>WIGOS>GOS>GOS Other elements>WRO,WRO,GOS Weather Radar
21,emep,,>WIGOS>GAW>GAW Other elements>EMEP,EMEP,European Monitoring and Evaluation Programme
22,nadp,,>WIGOS>GAW>GAW Contributing networks>NADP,NADP,National Atmospheric Deposition Program
23,agage,,>WIGOS>GAW>GAW Other elements>AGAGE,AGAGE,AGAGE/SOGE/NIES
24,capmon,,>WIGOS>GAW>GAW Other elements>CAPMoN,CAPMoN,Canadian Air and Precipitation Monitoring Network
25,eanet,,>WIGOS>GAW>GAW Other elements>EANET,EANET,EANET
26,esrlccg,,>WIGOS>GAW>GAW Other elements>ESRLCCG,ESRLCCG,NOAA-ESRL (CCG)
27,iagos,,>WIGOS>GAW>GAW Other elements>IAGOS,IAGOS,MOZAIC-IAGOS
28,improve,,>WIGOS>GAW>GAW Contributing networks>IMPROVE,IMPROVE,IMPROVE Optical Aerosol
30,shadoz,,>WIGOS>GAW>GAW Other elements>SHADOZ,SHADOZ,Southern Hemisphere ADditional Ozonesondes
31,tccon,,>WIGOS>GAW>GAW Contributing networks>TCCON,TCCON,Total Carbon Column Observing Network
32,bsrn,,>WIGOS>GOS>GOS Surface networks>BSRN,BSRN,Baseline Surface Radiation Network
33,ndacc,,>WIGOS>GAW>GAW Other elements>NDACC,NDACC,Network for the Detection of Atmospheric Composition Change
34,castnet,,>WIGOS>GAW>GAW Contributing networks>CASTNET,CASTNET,Clean Air Status and Trends Network
35,galionEarlinet,,>WIGOS>GAW>GAW Contributing networks>GALION>EARLINET,EARLINET,EARLINET European Lidar
36,galionGAW,,>WIGOS>GAW>GAW Contributing networks>GALION,GALION,GAW Aerosol Lidar Observation Network
37,galionAdnet,,>WIGOS>GAW>GAW Contributing networks>GALION>ADNet,ADNet,AD-Net Asian Dust and Lidar Observation Network
38,aline,,>WIGOS>GAW>GAW Contributing networks>ALINE,ALINE,ALINE Latin America Lidar Network
39,cislinet,,>WIGOS>GAW>GAW Contributing networks>GALION>CIS-LiNet,CIS-LiNet,Atmosphere aerosol and ozone monitoring in CIS regions through lidar stations network
40,galionNdacc,,>WIGOS>GAW>GAW Contributing networks>GALION>NDACC,NDACC,Network for the Detection of Atmospheric Composition Change
41,galionMplnet,,>WIGOS>GAW>GAW Contributing networks>GALION>MPLNET,MPLNET,Micro-Pulse Lidar Network
42,cln,,>WIGOS>GAW>GAW Other elements>CLN,CLN,The NOAA Cooperative Remote Sensing Science and Technology (CREST) Lidar network
43,aerocan,,>WIGOS>GAW>GAW Other elements>AOD>AEROCAN,AEROCAN,"AEROCAN, federated to AERONET"
44,aeronet,,>WIGOS>GAW>GAW Other elements>AOD>AERONET,AERONET,AERONET
45,photons,,>WIGOS>GAW>GAW Other elements>AOD>PHOTONS,PHOTONS,"PHOTONS, federated to AERONET"
46,polarAOD,,>WIGOS>GAW>GAW Other elements>AOD>PolarAOD,PolarAOD,PolarAOD
47,germanAOD,,>WIGOS>GAW>GAW Other elements>AOD>German AOD network,German AOD network,German AOD network
48,sibrad,,>WIGOS>GAW>GAW Other elements>AOD>SibRad,SibRad,SibRad
49,skynet,,>WIGOS>GAW>GAW Other elements>AOD>SKYNET,SKYNET,SKYNET
50,anton,,>WIGOS>GOS>GOS Surface networks>ANTON,ANTON,Antarctic Observing Network surface synoptic station (SYNOP/CLIMAT)
51,antonT,,>WIGOS>GOS>GOS Surface networks>ANTON>ANTON(T),ANTON(T),Antarctic Observing Network upper-air station (TEMP)
52,rbcnClimatC,,>WIGOS>GOS>GOS Surface networks>RBCN>CLIMAT(C),CLIMAT(C),Station for which monthly climatological means of surface elements are transmitted
53,rbcnClimatT,,>WIGOS>GOS>GOS Surface networks>RBCN>CLIMAT(T),CLIMAT(T),Station for which monthly climatological means of upper-air elements are transmitted
54,rbcnClimatCT,,>WIGOS>GOS>GOS Surface networks>RBCN>CLIMAT(CT),CLIMAT(CT),Station for which monthly climatological means of both surface and upper- air elements are transmitted
55,ctbto,,>WIGOS>GOS>GOS Contributing networks>CTBTO,CTBTO,Comprehensive Nuclear-Test Ban Treaty Organization International Monitoring System Network monitoring station
56,rbcn,,>WIGOS>GOS>GOS Surface networks>RBCN,RBCN,Regional Basic Climatological Networks
57,rbsnS,,>WIGOS>GOS>GOS Surface networks>RBSN>RBSN(S),RBSN(S),Regional Basic Synoptic Network surface station (SYNOP)
58,rbsnT,,>WIGOS>GOS>GOS Surface networks>RBSN>RBSN(T),RBSN(T),Regional Basic Synoptic Network upper-air station (TEMP)
59,rbsnP,,>WIGOS>GOS>GOS Surface networks>RBSN>RBSN(P),RBSN(P),Regional Basic Synoptic Network upper-air station (PILOT)
60,rbsnST,,>WIGOS>GOS>GOS Surface networks>RBSN>RBSN(ST),RBSN(ST),Regional Basic Synoptic Network surface and upper-air station (SYNOP/TEMP)
61,rbsnSP,,>WIGOS>GOS>GOS Surface networks>RBSN>RBSN(SP),RBSN(SP),NA
62,goos,,>Co-sponsored>GOOS,GOOS,Global Ocean Observing System
63,gtos,,>Co-sponsored>GTOS,GTOS,Global Terrestrial Observing System
64,ceilometer,,>WIGOS>GOS>GOS Other elements>Ceilometers,Ceilometers,Elastic lidar (ceilometer) networks
65,whos,,>WIGOS>WHOS,WHOS,NA
66,cryonet,,>WIGOS>GCW>CryoNet,CryoNet,NA
67,whycos,,>WIGOS>WHOS>WHYCOS,WHYCOS,NA
68,dbcpDbcp,,>Co-sponsored>GOOS>DBCP,DBCP,NA
69,sot,,>Co-sponsored>GOOS>SOT,SOT,NA
70,dbcpAOML,,>Co-sponsored>GOOS>DBCP>AOML,AOML,NA
71,dbcpAOMLeSurfmar,,>Co-sponsored>GOOS>DBCP>AOML-E-SURFMAR,AOML-E-SURFMAR,NA
72,dbcpAPLUW,,>Co-sponsored>GOOS>DBCP>APL-UW,APL-UW,NA
73,argoArgentina,,>Co-sponsored>GOOS>Argo>ARGO ARGENTINA,ARGO ARGENTINA,NA
74,argoAustralia,,>Co-sponsored>GOOS>Argo>ARGO AUSTRALIA,ARGO AUSTRALIA,NA
75,aroEqAustralia,,>Co-sponsored>GOOS>Argo>ARGO AUSTRALIA EQ.,ARGO AUSTRALIA EQ.,NA
76,argoAWI,,>Co-sponsored>GOOS>Argo>ARGO AWI,ARGO AWI,NA
77,argoBrazil,,>Co-sponsored>GOOS>Argo>ARGO BRAZIL,ARGO BRAZIL,NA
78,argoBSH,,>Co-sponsored>GOOS>Argo>ARGO BSH,ARGO BSH,NA
79,argoCanada,,>Co-sponsored>GOOS>Argo>ARGO CANADA,ARGO CANADA,NA
80,argoChile,,>Co-sponsored>GOOS>Argo>ARGO CHILE,ARGO CHILE,NA
81,argoChina,,>Co-sponsored>GOOS>Argo>ARGO CHINA,ARGO CHINA,NA
82,argoChinaSOA,,>Co-sponsored>GOOS>Argo>ARGO CHINA SOA,ARGO CHINA SOA,NA
83,argoCostaRica,,>Co-sponsored>GOOS>Argo>ARGO COSTA RICA,ARGO COSTA RICA,NA
84,argoDenmark,,>Co-sponsored>GOOS>Argo>ARGO DENMARK,ARGO DENMARK,NA
85,argoEcuador,,>Co-sponsored>GOOS>Argo>ARGO ECUADOR,ARGO ECUADOR,NA
86,argoEqAOML,,>Co-sponsored>GOOS>Argo>ARGO EQ. AOML,ARGO EQ. AOML,NA
87,argoEqAWI,,>Co-sponsored>GOOS>Argo>ARGO EQ. AWI,ARGO EQ. AWI,NA
88,argoEqBSH,,>Co-sponsored>GOOS>Argo>ARGO EQ. BSH,ARGO EQ. BSH,NA
