WMO306CD_efrs,QualityFlagSysURL_efrs,Path_e,Name_e,Definition_e,
NA,,>Atmosphere>Total Atmospheric Deposition>Acidity/Alkalinity,Acidity/Alkalinity,NA,
NA,,">Atmosphere>Aerosol>Composition>Acidity/Alkalinity, total aerosol","Acidity/Alkalinity, total aerosol",NA,
NA,,>Atmosphere>Aerological soundings,Aerological soundings,NA,
NA,,>Atmosphere>Aerosol,Aerosol,NA,
NA,,>Atmosphere>Aerosol>Optical properties>Aerosol Absorption Optical Depth,Aerosol Absorption Optical Depth,Vertical column integral of spectral aerosol absorption coefficient (AAOD).,
NA,,>Atmosphere>Aerosol>Physical properties - primary>Aerosol column burden (mass density),Aerosol column burden (mass density),Column burden of condensed particles in the atmosphere.,
NA,,>Atmosphere>Aerosol>Physical properties - primary>Dust>Aerosol dust concentration (mass),Aerosol dust concentration (mass),Concentration of dust or sand in the atmosphere.,
NA,,>Atmosphere>Aerosol>Physical properties - primary>Aerosol effective radius,Aerosol effective radius,"Mean aerosol particle size, defined as the ratio of the third and second moments of the number size distribution of aerosol particles.",
NA,,>Atmosphere>Aerosol>Optical properties>Aerosol Extinction Coefficient,Aerosol Extinction Coefficient,Spectral volumetric extinction cross-section of aerosol particles.,
NA,,>Atmosphere>Aerosol>Physical properties - primary>Volcanic ash>Aerosol volcanic ash (mass concentration),Aerosol volcanic ash (mass concentration),Mass mixing ratio of volcanic ash.,
NA,,>Atmosphere>Aerosol>Physical properties - primary>Volcanic ash>Aerosol volcanic ash (Total column),Aerosol volcanic ash (Total column),Total column mass of volcanic ash.,
NA,,>Atmosphere>Temperature>Air temperature (at specified distance from reference surface),Air temperature (at specified distance from reference surface),NA,
NA,,>Outer Space>Energetic particles / solar wind >Particle flux>Alpha particles differential directional flux,Alpha particles differential directional flux,NA,
NA,,>Outer Space>Energetic particles / solar wind >Particle flux>Alpha particles integral directional flux,Alpha particles integral directional flux,The flux of alpha particles through a reference surface limited to a specified solid angle as a function of the direction. An alpha particle has positive charge and consists of two protons and two neutrons (the nucleus of a helium atom). Flux is the rate of flow through a reference surface. The directional flux is the flux limited to a certain solid angle as a function of the direction (pitch angle).,
NA,,>Atmosphere>Precipitation>Amount of precipitation,Amount of precipitation,NA,
NA,,>Atmosphere,Atmosphere,NA,
NA,,>Atmosphere>Atmospheric density,Atmospheric density,3D field of density of the atmosphere.,
NA,,>Atmosphere>Pressure>Atmospheric pressure,Atmospheric pressure,NA,
NA,,>Outer Space>Ionospheric disturbances>Aurora,Aurora,Fluorescence of the upper atmosphere through ionization by energetic charged particles accelerated by the Earth's magnetic field.,
NA,,>Atmosphere>Radiation>Background luminance,Background luminance,NA,
NA,,>Ocean>Basic Physical Properties,Basic Physical Properties,NA,
oceanBathymetry,,>Ocean>Topography>Bathymetry,Bathymetry,NA,
NA,,>Atmosphere>Radionuclide>Beryllium [Be-7],Beryllium [Be-7],NA,
NA,,>Ocean>Biology,Biology,NA,
NA,,>Terrestrial>Land surface>Vegetation>Biomass,Biomass,Total amount of vegetation in a reference area.,
NA,,>Terrestrial>Land surface>Braking action/friction coefficient,Braking action/friction coefficient,NA,
oceanDMS,,">Ocean>Reactive Gas>C2H6S (dimethylsulfide, DMS)","C2H6S (dimethylsulfide, DMS)",NA,
NA,,>Ocean>Miscellaneous>Carbon species,Carbon species,NA,
NA,,>Atmosphere>Aerosol>Physical properties - secondary>CCN concentration at single supersaturation,CCN concentration at single supersaturation,NA,
NA,,>Atmosphere>Aerosol>Physical properties - secondary>CCN concentration spectra,CCN concentration spectra,NA,
NA,,>Atmosphere>Greenhouse Gas>CFCs,CFCs,NA,
NA,,>Atmosphere>Pressure>Characteristic of pressure tendency,Characteristic of pressure tendency,NA,
oceanChlorophyllConcentration,,>Ocean>Biology>Chlorophyll concentration,Chlorophyll concentration,"Indicator of living phytoplankton biomass, extracted from ocean colour observation.",
NA,,>Atmosphere>Clouds>Cloud amount,Cloud amount,NA,
NA,,>Atmosphere>Clouds>Cloud cover,Cloud cover,NA,
NA,,>Atmosphere>Clouds>Cloud drop effective radius,Cloud drop effective radius,"Size distribution of liquid water drops, assimilated to spheres of the same volume. Considered as both a 3D field throughout the troposphere and a 2D field at the top of cloud surface.",
NA,,>Atmosphere>Clouds>Cloud hydrometeor concentration,Cloud hydrometeor concentration,NA,
NA,,>Atmosphere>Clouds>Ice>Cloud ice,Cloud ice,Atmospheric water in the solid phase (precipitating or not).,
NA,,>Atmosphere>Clouds>Ice>Cloud ice (total column),Cloud ice (total column),Atmospheric water in the solid phase (precipitating or not) as total column.,
NA,,>Atmosphere>Clouds>Ice>Cloud ice effective radius,Cloud ice effective radius,"Size distribution of ice particles, assimilated to spheres of the same volume.",
NA,,>Atmosphere>Clouds>Liquid water>Cloud liquid water (CLW),Cloud liquid water (CLW),Atmospheric water in the liquid phase (precipitating or not).,
NA,,">Atmosphere>Clouds>Liquid water>Cloud liquid water (CLW, total column)","Cloud liquid water (CLW, total column)",Atmospheric water in the liquid phase (precipitating or not).,
NA,,>Atmosphere>Clouds>Optical properties>Cloud optical depth,Cloud optical depth,Effective depth of a cloud from the viewpoint of radiation propagation.,
NA,,>Atmosphere>Clouds,Clouds,NA,
NA,,>Atmosphere>Radionuclide>CO2 [C-14],CO2 [C-14],CO2 with C-14 isotope,
NA,,>Terrestrial>Land surface>Greenhouse Gas>CO2 flux,CO2 flux,Flux of carbon dioxide from the surface to the atmosphere,
oceanCoastalSeaLevel,,>Ocean>Topography>Coastal sea level (tide),Coastal sea level (tide),"Deviation of sea level from local references in coastal zones, caused by local currents and tides (astronomical and wind-induced).",
NA,,>Terrestrial>Land surface>Coastlines,Coastlines,Location of coastline.,
NA,,>Atmosphere>Aerosol>Composition,Composition,NA,
oceanConductivity,,>Ocean>Basic Physical Properties>Conductivity,Conductivity,Conductivity measured by CTD or MicroCAT.,
NA,,>Outer Space>Energetic particles / solar wind >Particle flux>Cosmic ray neutron flux spectrum,Cosmic ray neutron flux spectrum,Flux density energy spectrum of neutrons from the Sun or as component of the cosmic radiation.,
NA,,>Earth>Crustal motion (horizontal and vertical),Crustal motion (horizontal and vertical),"Changes in time of the position and height of the Earth plates. Indicative of the lithosphere dynamics, thus useful for earthquake prediction.",
NA,,>Earth>Crustal plates positioning,Crustal plates positioning,Basis for monitoring the evolution of the lithosphere dynamics.,
NA,,>Ocean>Other Gas>CTD,CTD,NA,
oceanCTD,,>Ocean>Pressure>CTD,CTD,NA,
NA,,>Ocean>Transmissivity>CTD,CTD,NA,
NA,,>Ocean>Currents,Currents,NA,
oceanDensity,,>Ocean>Basic Physical Properties>Density,Density,Density measured by CTD.,
NA,,>Terrestrial>Land surface>Snow / Ice / Glacier>Snow>Depth of fresh snowfall,Depth of fresh snowfall,NA,
NA,,>Atmosphere>Temperature>Dew-point temperature (at specified distance from reference surface),Dew-point temperature (at specified distance from reference surface),NA,
oceanTurbidity,,">Ocean>Miscellaneous>Diffuse attenuation coefficient (DAC), turbidity","Diffuse attenuation coefficient (DAC), turbidity","Indicator of water turbidity and vertical processes in the ocean, extracted from ocean colour observation.",
NA,,>Atmosphere>Radiation>Solar>Diffuse solar radiation,Diffuse solar radiation,NA,
NA,,>Atmosphere>Radiation>Solar>Direct solar radiation,Direct solar radiation,NA,
NA,,>Atmosphere>Wind>Direction of cloud movement,Direction of cloud movement,NA,
oceanDirectionalWaves,,>Ocean>Waves>Directional waves,Directional waves,"Waves measured in X,Y,Z directions.",
oceanDissolvedInorganicCarbon,,>Ocean>Miscellaneous>Carbon species>Dissolved inorganic carbon (DIC),Dissolved inorganic carbon (DIC),"The cumulated concentration of inorganic carbon species (dissolved carbon dioxide, carbonic acid, bicarbonate and carbonate) in solution.",
oceanDissolvedOrganicCarbon,,>Ocean>Miscellaneous>Carbon species>Dissolved organic carbon,Dissolved organic carbon,NA,
oceanDissolvedOrganicNitrogen,,>Ocean>Miscellaneous>Nitrogen species>Dissolved organic nitrogen,Dissolved organic nitrogen,NA,
oceanDominantWaveDirection,,>Ocean>Waves>Dominant wave direction,Dominant wave direction,The direction of the most energetic wave in the spectrum.,
oceanDominantWavePeriod,,>Ocean>Waves>Dominant wave period,Dominant wave period,The period of the most energetic wave in the ocean wave spectrum.,
NA,,>Atmosphere>Precipitation>Duration,Duration,NA,
NA,,>Atmosphere>Aerosol>Physical properties - primary>Dust,Dust,NA,
NA,,>Atmosphere>Dynamics,Dynamics,NA,
NA,,>Earth,Earth,NA,
NA,,>Earth>Earth Rotation,Earth Rotation,"Rotation velocity of the Earth, determining the length of the day.",
