notation,path,domains,tags,name,description
165,\Terrestrial\Hydrological\Groundwater,,,Groundwater (amount per unit area),Amount of water present beneath the ground surface per unit area.
166,\Terrestrial\Hydrological\Groundwater,,"Hydrological, Groundwater",Groundwater level,Elevation of the water table or piezometric surface of an aquifer at a certain location and time. [International Glossary of Hydrology (WMO-No. 385). 2012 edition.]
167,\Terrestrial\Hydrological\Surface water,,,Lake area,Area extent of the surface of a lake.
168,\Terrestrial\Hydrological\Surface water,,,Lake level,Elevation of water in an inland body of surface water of significant extent. [Based on 'water level' and 'lake' in International Glossary of Hydrology (WMO-No. 385). 2012 edition.]
171,\Terrestrial\Hydrological\Surface water,,,Stream discharge,Volume of water flowing through a stream (or channel) cross-section per unit time. [Based on 'discharge' in International Glossary of Hydrology (WMO-No. 385). 2012 edition.]
172,\Terrestrial\Hydrological\Surface water,,,Stream level,Elevation of the free water surface of a water body flowing in an open or closed conduit. [Based on 'water level'and 'stream' in International Glossary of Hydrology (WMO-No. 385). 2012 edition.]
174,\Terrestrial\Hydrological\Well,,,Well discharge,
231,\Terrestrial\Land surface,,,Breaking action-friction coefficient,
232,\Terrestrial\Land surface,,,Coastlines,Location of coastlines (Lat/Long)
236,\Terrestrial\Land surface,,,Land cover,"Processed from land surface imagery by assigning identified cluster(s) within a given area to specific classes of objects - Accuracy expressed as number of classes. Actually [ classes-1 ] is used, so that smaller figure corresponds to better performance, as usual."
237,\Terrestrial\Land surface,,,Land surface topography,Map of land surface heights.
239,\Terrestrial\Land surface,,,Runway conditions,
243,\Terrestrial\Land surface,,,Wetland extent,Fraction of an area flood by water.
245,\Terrestrial\Soil,,,Soil heat Flux,
246,\Terrestrial\Soil,,,Soil type,"Result of the classification of different types of soil within an area - Accuracy expressed as inverse of the number of classes, so that smaller figures correspond to better performance."
386,\Terrestrial\Land surface\Fire,,,Fire fractional cover,Fraction of a land area where fire is occurring.
387,\Terrestrial\Land surface\Fire,,,Fire radiative power,Power radiated by the fire occurring within an area.
388,\Terrestrial\Land surface\Fire,,,Fire temperature,Temperature of the fire occurring within an area.
389,\Terrestrial\Land surface\Temperature,,,Land surface temperature,Temperature of the apparent surface of land (bare soil or vegetation).
410,\Terrestrial\Hydrological\Surface water\Temperature,,,Lake Surface Temperature,Temperature of the lake surface.
422,\Terrestrial\Land surface\Greenhouse Gas,,,CO2 flux,Flux of carbon dioxide from the surface to the atmosphere
423,\Terrestrial\Land surface\Vegetation,,,Biomass,Total amount of vegetation in a reference area
424,\Terrestrial\Land surface\Vegetation,,,Fraction of vegetated land,Fraction of a land area where vegetation is present.
425,\Terrestrial\Land surface\Vegetation,,,Leaf Area Index (LAI),"LAI (Leaf Area Index, LAI) is the total one-sided area of photosynthetic tissue per unit ground surface area."
426,\Terrestrial\Land surface\Vegetation,,,Normalised Difference Vegetation Index (NDVI),"Difference between maximum (in NIR) and minimum (around the Red) vegetation reflectance, normalised to the summation. Representative of total biomass, supportive for computing LAI if not directly measured."
427,\Terrestrial\Land surface\Vegetation,,,Vegetation type,"Result of the classification of different types of vegetation within a vegetated area - Accuracy expressed as inverse of the number of classes, so that smaller figures correspond to better performance."
510,\Terrestrial\Land surface\Humidity,,,Evaporation,Quantity of water evaporated from the soil and plants when the ground is at its natural moisture content.
527,\Terrestrial\Soil\Humidity,,,Soil moisture (in the roots region),Fractional content of water in a volume of wet soil. Typically in a layer from the surface down to approximately 3 meters.
528,\Terrestrial\Soil\Humidity,,,Soil moisture at surface,Fractional content of water in a volume of wet soil. Surface layer (upper few centimetres).
563,\Terrestrial\Land surface\Radiation,,,Fraction of Absorbed PAR (FAPAR),Fraction of PAR absorbed by vegetation (land or marine) for photosynthesis processes (generally around the 'red' frequencies).
564,\Terrestrial\Land surface\Radiation,,,Photosynthetically Active Radiation (PAR),Flux of downwelling photons of wavelength 400-700 nm.
596,\Terrestrial\Soil\Temperature,,,Soil temperature,"The standard depths for soil temperature measurements are 5, 10, 20, 50 and 100 cm below the surface; additional depths may be included. The site for such measurements should be a level plot of bare ground (about 75 cm^2 ) and typical of the surrounding soil for which information is required."
611,\Terrestrial\Cryosphere\Glacier,,,Glacier motion,Velocity of the ice measured at the surface of a glacier.
612,\Terrestrial\Cryosphere\Glacier,,,Glacier topography,Map of the height of the glacier surface.
613,\Terrestrial\Cryosphere\Ice sheet,,,Ice sheet topography,Map of ice sheet height over land.
627,\Terrestrial\Cryosphere\Snow,,,Depth of snowfall,The vertical depth of freshly fallen snow that has accumulated during a specific period.
628,\Terrestrial\Cryosphere\Snow,,,Snow cover extent,"The area of snow-covered ground, ice, or firn based on the fractional threshold used to define presence of snow."
629,\Terrestrial\Cryosphere\Snow,,,Snow depth,Vertical distance from the snow surface to a stated reference level.
630,\Terrestrial\Cryosphere\Snow,,,Snow surface state,Binary product (dry or wet) expressing the presence of liquid water at the surface of the snow cover.
631,\Terrestrial\Cryosphere\Snow,,,Water equivalent of snow cover,"The Vertical depth of the water that would be obtained if the snow cover melted completely, which equates to the snow-cover mass per unit area."
725,\Terrestrial\Cryosphere\Lake ice,,,Ice thickness,
726,\Terrestrial\Cryosphere\River ice,,,Ice thickness,
12007,\Terrestrial\Cryosphere\Snow,,,Presence of snow,A binary observation of the presence of snow cover at the measurement location.
12008,\Terrestrial\Cryosphere\Snow,,,Water equivalent of snowfall,"Vertical depth of the water that would be obtained if the freshly fallen snow melted completely, which equates to the new snow mass per unit area."
12009,\Terrestrial\Cryosphere\Glacier,,,Glacier mass balance at a point,"The result of all processes adding and removing mass from the glacier at a point on its surface, expressed over a stated period of time"
