notation,path,name,description
24,\Atmosphere\Clouds\Human observation,Human observation,
58,"\Atmosphere\Ozone\Remote-sensing, passive\(Optical) filter Instrument",(Optical) filter Instrument,
59,\Atmosphere\Precipitation\In situ\(Ruler for) rain gauge,(Ruler for) rain gauge,
60,\Atmosphere\Wind\In situ\(Ultra)sonic anemometer,(Ultra)sonic anemometer,
inapplicable,,inapplicable,None of the codes in the table are applicable in the context of this particular observation.
62,\Atmosphere\Radioactivity\In situ\Adsorption - scintillation counting,Adsorption - scintillation counting,
63,\Atmosphere\Wind\In situ\Aerovane (wind vane with propeller),Aerovane (wind vane with propeller),
64,\Atmosphere\Radioactivity\In situ\Alpha counting,Alpha counting,
65,\Atmosphere\Wind\In situ\Anemometer [general],Anemometer [general],
66,\Atmosphere\Pressure\In situ\Aneroid barometer (evacuated capsule),Aneroid barometer (evacuated capsule),
67,\Atmosphere\Total atmospheric deposition\In situ\Anion exchange membrane (AEM),Anion exchange membrane (AEM),
68,\Atmosphere\Evaporation\In situ\Atmometer,Atmometer,
69,"\Atmosphere\Lightning\Remote-sensing, passive\Atmospherics (""sferics"") detection","Atmospherics (""sferics"") detection",
70,\Atmosphere\Total atmospheric deposition\In situ\Atomic absorption spectrophotometry (AAS),Atomic absorption spectrophotometry (AAS),
71,\Atmosphere\Total atmospheric deposition\In situ\Atomic emission spectrophotometry (AES),Atomic emission spectrophotometry (AES),
72,\Atmosphere\Radiation\In situ\BSRN compliant instrument,BSRN compliant instrument,
73,"\Atmosphere\Pressure\In situ\Barometer, mercury column","Barometer, mercury column",
74,"\Atmosphere\Pressure\In situ\Barometer, mercury-free column","Barometer, mercury-free column",
75,\Atmosphere\Radioactivity\In situ\Beta counting,Beta counting,
76,\Atmosphere\Temperature\In situ\Bimetal thermometer,Bimetal thermometer,
77,\Atmosphere\Micrometeorology\In situ\Bowen-ratio method,Bowen-ratio method,
78,"\Atmosphere\Ozone\Remote-sensing, passive\Brewer",Brewer,
79,\Atmosphere\Ozone\In situ\Brewer-GDR,Brewer-GDR,
80,\Atmosphere\Ozone\In situ\Brewer-Mast Sonde,Brewer-Mast Sonde,
82,\Atmosphere\Precipitation\In situ\Capacitive rain sensor,Capacitive rain sensor,
83,\Atmosphere\Total atmospheric deposition\In situ\Capillary electrophoresis (CE),Capillary electrophoresis (CE),
84,\Atmosphere\Ozone\In situ\Carbon-Iodine Sonde (KC Sonde),Carbon-Iodine Sonde (KC Sonde),
87,\Atmosphere\Total atmospheric deposition\In situ\Colorimetric titration (Gran method),Colorimetric titration (Gran method),
88,\Atmosphere\Total atmospheric deposition\In situ\Colorimetric titration [general],Colorimetric titration [general],
90,\Atmosphere\Total atmospheric deposition\In situ\Colorimetry\Colorimetry (Saltzman),Colorimetry (Saltzman),
91,\Atmosphere\Total atmospheric deposition\In situ\Colorimetry\Colorimetry (thorin),Colorimetry (thorin),
94,\Atmosphere\Trace gas\In situ\Conductometry,Conductometry,
95,\Atmosphere\Wind\In situ\Cup anemometer,Cup anemometer,
96,\Atmosphere\Wind\In situ\Cup anemometer (3 or 4 cups),Cup anemometer (3 or 4 cups),
97,\Atmosphere\Micrometeorology\In situ\Cuvette,Cuvette,
98,\Atmosphere\Total atmospheric deposition\In situ\Denuder,Denuder,
99,\Atmosphere\Trace gas\In situ\Denuder,Denuder,
102,\Atmosphere\Precipitation\In situ\Disdrometer (drop spectrographs),Disdrometer (drop spectrographs),
103,\Atmosphere\Micrometeorology\In situ\Disjunct eddy covariance method,Disjunct eddy covariance method,
105,\Atmosphere\Micrometeorology\In situ\Dissipation method,Dissipation method,
106,"\Atmosphere\Ozone\Remote-sensing, passive\Dobson",Dobson,
107,\Atmosphere\Ozone\In situ\ECC Sonde,ECC Sonde,
108,\Atmosphere\Micrometeorology\In situ\Eddy accumulation method,Eddy accumulation method,
109,\Atmosphere\Micrometeorology\In situ\Eddy covariance method,Eddy covariance method,
110,\Atmosphere\Total atmospheric deposition\In situ\Electric conductivity (EC meter),Electric conductivity (EC meter),
111,\Atmosphere\Pressure\In situ\Electronic pressure transducer (silicon diaphragm),Electronic pressure transducer (silicon diaphragm),
112,\Atmosphere\Wind\In situ\Estimation from visual observation,Estimation from visual observation,
113,\Atmosphere\Evaporation\In situ\Evaporation pan and-or tank,Evaporation pan and-or tank,
114,\Atmosphere\Trace gas\In situ\Faraday cup photochemistry,Faraday cup photochemistry,
115,\Atmosphere\Radioactivity\In situ\Filter sampling + alpha counting,Filter sampling + alpha counting,
116,\Atmosphere\Radioactivity\In situ\Filter sampling + gamma spectrometry,Filter sampling + gamma spectrometry,
119,\Atmosphere\Trace gas\In situ\Flame-ionization detector (FID),Flame-ionization detector (FID),
120,\Atmosphere\Trace gas\In situ\Flask sampling (analytical method unspecified),Flask sampling (analytical method unspecified),
121,\Atmosphere\Total atmospheric deposition\In situ\Flow injection analyzer (FIA),Flow injection analyzer (FIA),
123,\Atmosphere\Micrometeorology\In situ\Flux variance method,Flux variance method,
125,\Atmosphere\Micrometeorology\In situ\Gradient method,Gradient method,
127,\Atmosphere\Precipitation\In situ\Gravimetry [general],Gravimetry [general],
129,\Atmosphere\Total atmospheric deposition\In situ\High Performance Liquid Chromatography (HPLC),High Performance Liquid Chromatography (HPLC),
130,\Atmosphere\Wind\In situ\Hot wire anemometer,Hot wire anemometer,
132,\Atmosphere\Pressure\In situ\Hypsometer (water boiling point),Hypsometer (water boiling point),
133,\Atmosphere\Total atmospheric deposition\In situ\ICP-AES,ICP-AES,
134,\Atmosphere\Total atmospheric deposition\In situ\ICP-MS,ICP-MS,
135,\Atmosphere\Ozone\In situ\Indian Sonde,Indian Sonde,
136,\Atmosphere\Micrometeorology\In situ\Interferential method,Interferential method,
137,\Atmosphere\Total atmospheric deposition\In situ\Ion Chromatography (IC) [general],Ion Chromatography (IC) [general],
142,"\Atmosphere\Wind\Remote-sensing, passive\Light detection and ranging (LIDAR) profiler",Light detection and ranging (LIDAR) profiler,
143,"\Atmosphere\Humidity\Remote-sensing, active\Light detection and ranging (Lidar)",Light detection and ranging (Lidar),
144,\Atmosphere\Temperature\In situ\Liquid-in-glass thermometer (mercury-free),Liquid-in-glass thermometer (mercury-free),
146,\Atmosphere\Evaporation\In situ\Lysimeter,Lysimeter,
147,\Atmosphere\Micrometeorology\In situ\Mass balance method,Mass balance method,
149,\Atmosphere\Temperature\In situ\Mercury-in-glass thermometer,Mercury-in-glass thermometer,
150,\Atmosphere\Pressure\In situ\Microbarometer (dewar),Microbarometer (dewar),
151,"\Atmosphere\Radiation\Remote-sensing, passive\Microtops",Microtops,
152,"\Atmosphere\Humidity\Remote-sensing, passive\Microtops",Microtops,
153,"\Atmosphere\Ozone\Remote-sensing, passive\Microtops",Microtops,
154,"\Atmosphere\Temperature\Remote-sensing, passive\Microwave profiler",Microwave profiler,
155,"\Atmosphere\Humidity\Remote-sensing, passive\Microwave radiometry",Microwave radiometry,
156,"\Atmosphere\Ozone\Remote-sensing, passive\Microwave radiometry",Microwave radiometry,
157,\Atmosphere\Total atmospheric deposition\In situ\NILU_O_2,NILU_O_2,
158,\Atmosphere\Total atmospheric deposition\In situ\NILU_O_3,NILU_O_3,
166,\Atmosphere\Ozone\In situ\Ozone sonde (unspecified),Ozone sonde (unspecified),
167,\Atmosphere\Trace gas\In situ\Passive Samplers [general],Passive Samplers [general],
168,\Atmosphere\Total atmospheric deposition\In situ\Photoacoustic detection,Photoacoustic detection,
170,\Atmosphere\Precipitation\In situ\Pluviograph,Pluviograph,
171,\Atmosphere\Ozone\In situ\Potassium iodide (KI) method,Potassium iodide (KI) method,
172,\Atmosphere\Total atmospheric deposition\In situ\Potentiometry (ion-selective electrode),Potentiometry (ion-selective electrode),
