#,WMO306CD_efrs,QualityFlagSysURL_efrs,Path_e,Name_e,Definition_e,Path_f,Name_f,Definition_f,Path_s,Name_s,Definition_s,Path_r,Name_r,Definition_r,
1,ascii,,,ASCII,"ASCII (American Standard Code for Information Interchange) is a character-encoding scheme used for text files. Plain text files are often called ""ASCII"" files.",,ASCII,Le code américain normalisé pour l’échange d’informations (ASCII) est un dispositif d’encodage des caractères utilisé pour les fichiers texte. Les fichiers texte simples sont souvent appelés «fichiers ASCII».,,ASCII,"ASCII (Código normalizado estadounidense para el intercambio de información) es un sistema de codificación de caracteres que se utiliza con los archivos de texto. Los archivos de texto simple suelen llamarse archivos ""ASCII"".",,ASCII,"ASCII (Американский стандартный код для обмена информацией) − это схема кодирования символов, используемая в текстовых файлах. Незакодированные файлы обычно называются файлами «ASCII».",
3,nasaAmes,,,NASA AMES,The NASA AMES format is a set of nine ASCII-based file formats that comply with an overall common structure but make provision of different features adapted to various cases. It consists of a header and a data part.,,NASA AMES,"Le format NASA AMES est en fait un ensemble de neuf formats de fichier reposant sur l’ASCII, qui obéissent à une structure commune globale mais présentent différentes caractéristiques adaptées à diverses situations. Il comprend une partie titre et une partie données.",,NASA AMES,"El formato NASA AMES es un conjunto de nueve formatos de archivo basados en ASCII que se ajustan a una estructura global común, pero disponen de diferentes prestaciones adaptadas a distintos casos. Consta de un encabezamiento y una parte de datos.",,NASA AMES,"Формат NASA AMES − это набор девяти файловых форматов на основе ASCII, которые соответствуют всей общей структуре, но предусматривают разные характеристики, адаптированные к различным случаям. Он состоит из хедера и части, посвященной данным.",
4,hdf4,,,HDF4,"Hierarchical Data Format (HDF) is a set of file formats (HDF4, HDF5) designed to store and organize large amounts of data.",,HDF4,"Le format de données hiérarchique (HDF) est un ensemble de formats de fichier (HDF4, HDF5) conçu pour stocker et organiser de grands volumes de données.",,HDF4,"El formato jerárquico de datos (HDF) es un conjunto de formatos de archivo (HDF4, HDF5) diseñados para almacenar y organizar grandes cantidades de datos.",,HDF4,"Иерархический формат данных (HDF) − это набор форматов (HDF4, HDF5), предназначенный для хранения и организации больших количеств данных.",
5,hdf5,,,HDF5,"Hierarchical Data Format (HDF) is a set of file formats (HDF4, HDF5) designed to store and organize large amounts of data.",,HDF5,"Le format de données hiérarchique (HDF) est un ensemble de formats de fichier (HDF4, HDF5) conçu pour stocker et organiser de grands volumes de données.",,HDF5,"El formato jerárquico de datos es un conjunto de formatos de archivo (HDF4, HDF5) diseñados para almacenar y organizar grandes cantidades de datos.",,HDF5,"Иерархический формат данных (HDF) − это набор форматов (HDF4, HDF5), предназначенный для хранения и организации больших количеств данных.",
6,xml,,,XML,Extensible Markup Language (XML) is a markup language that defines a set of rules for encoding documents in a format which is both human-readable and machine-readable.,,XML,Le langage de balisage extensible (XML) définit un ensemble de règles pour l’encodage des documents dans un format lisible par l’homme et par la machine.,,XML,El lenguaje extensible de marcado (XML) es un lenguaje de marcado que establece una serie de reglas para la codificación de documentos en un determinado formato que puede ser leído tanto por el hombre como por la máquina.,,XML,"Расширяемый язык маркировки (XML) − это язык маркировки, определяющий набор правил для кодирования документов в формате, который является как удобным для чтения человеком, так и пригодным для машинного считывания.",
8,csv,,,CSV,"A comma-separated values (CSV) file stores tabular data (numbers and text) in plain text. Each line of the file is a data record. Each record consists of one or more fields, separated by commas, hence the name for this file format.",,CSV,"Un fichier CSV (comma-separated values) stocke des données tabulaires (chiffres et texte) sous forme de texte simple. Chaque ligne du fichier constitue un ensemble de données, qui comprend un ou plusieurs domaines séparés par des virgules, d’où le nom de ce format.",,CSV,"Un archivo de texto separado por comas (CSV) almacena datos tabulares (números y texto) en texto simple. Cada línea del archivo es un registro de datos. Cada registro consta de uno o más campos, separados por comas, de aquí el nombre de este formato de archivos.",,CSV,"Файл с разделяемыми запятой величинами (CSV) хранит табличные данные (числа и текст) в виде незакодированного текста. Каждая строка файла − это запись данных. Каждая запись состоит из одного или нескольких полей, отделенных запятыми, отсюда название этого формата файла.",
10,netcdf,,,NetCDF,"A set of software libraries and self-describing, machine-independent data formats that support the creation, access, and sharing of array-oriented scientific data. http://www.unidata.ucar.edu/software/netcdf/",,NetCDF,"Ensemble de bibliothèques logicielles et de formats de données autodescriptives transférables, permettant de créer des données scientifiques ordonnées, d’y accéder et de les partager. http://www.unidata.ucar.edu/software/netcdf/",,NetCDF,"Un conjunto de bibliotecas de programas y formatos de datos autodescriptivos e independientes del soporte que permiten la creación, el acceso y el intercambio de datos científicos en términos matriciales. http://www.unidata.ucar.edu/software/netcdf/",,NetCDF,"Набор библиотек программного обеспечения и самостоятельно описываемых, машинонезависимых форматов данных, которые поддерживают создание оси в научных данных, доступ к нему и обмену им. http://www.unidata.ucar.edu/software/netcdf/",
12,ship,,,FM 13 - SHIP,Report of surface observation from a fixed sea station. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1,,FM 13 - SHIP,"Message d’observation en surface provenant d’une station fixe en mer. Manuel des codes, volume I.1. http://wis.wmo.int/ManCodes1",,FM 13 - SHIP,Informe de observación de superficie proveniente de una estación marítima fija. Manual de claves Volumen I.1. http://wis.wmo.int/ManCodes1,,FM 13 - SHIP,"Сводка приземных наблюдений с фиксированной морской станцией. Наставление по кодам, том I.1. http://wis.wmo.int/ManCodes1",
13,synopMobil,,,FM14 - SYNOP MOBIL,Report of a surface observation from a mobile land station. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1,,FM14 - SYNOP MOBIL,"Message d’observation en surface provenant d’une station terrestre mobile. Manuel des codes, volume I.1. http://wis.wmo.int/ManCodes1",,FM14 - SYNOP MOBIL,Informe de observación de superficie proveniente de una estación terrestre fija. Manual de claves Volumen I.1. http://wis.wmo.int/ManCodes1,,FM14 - SYNOP MOBIL,"Сводка приземных наблюдений с подвижной наземной станции. Наставление по кодам, том I.1. http://wis.wmo.int/ManCodes1",
14,metar,,,FM 15 - METAR,Aerodrome routine meteorological report (with or without trend forecast). Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1,,FM 15 - METAR,"Message d’observation météorologique régulière d’aérodrome (avec ou sans prévision de tendance). Manuel des codes, volume I.1. http://wis.wmo.int/ManCodes1",,FM 15 - METAR,Informe de observación meteorológica de rutina para aeródromos (con pronóstico de tendencia o sin él). Manual de claves Volumen I.1. http://wis.wmo.int/ManCodes1,,FM 15 - METAR,"Регулярная метеорологическая сводка по аэродрому (содержащая или не содержащая прогноз тренда). Наставление по кодам, том I.1. http://wis.wmo.int/ManCodes1",
