#,WMO306CD_efrs,QualityFlagSysURL_efrs,Path_e,Name_e,Definition_e,Path_f,Name_f,Definition_f,Path_s,Name_s,Definition_s,Path_r,Name_r,Definition_r
1,globalNumericalWeatherPrediction,,,Global numerical weather prediction (GNWP),"Global numerical weather prediction (GNWP) covers numerical weather prediction on a global scale, required for weather forecasting for more than a few days ahead. NWP uses mathematical models of the atmosphere and oceans to predict the weather based on current conditions of the atmosphere and oceans. http://www.wmo.int/pages/prog/www/OSY/SOG/SoG-Global-NWP.pdf",,Prévision numérique du temps à l’échelle du globe,La prévision numérique du temps à l’échelle du globe englobe les prévisions dont on a besoin pour prévoir le temps à une échéance supérieure à quelques jours. La prévision numérique du temps se fonde sur des modèles mathématiques de l’atmosphère et de l’océan pour prévoir les conditions météorologiques en fonction des conditions atmosphériques et océaniques présentes. http://www.wmo.int/pages/prog/www/OSY/SOG/SoG-Global-NWP.pdf,,Predicción meteorológica numérica mundial,"La predicción meteorológica numérica mundial cubre la predicción meteorológica numérica a escala mundial, necesaria para realizar pronósticos meteorológicos con más de unos pocos días de antelación. La predicción meteorológica numérica utiliza modelos matemáticos de la atmósfera y los océanos para predecir el tiempo en función de las condiciones actuales de la atmósfera y los océanos. http://www.wmo.int/pages/prog/www/OSY/SOG/SoG-Global-NWP.pdf",,Глобальный численный прогноз погоды (ГЧПП),"Глобальное численное прогнозирование погоды (ГЧПП) охватывает численное прогнозирование погоды в глобальном масштабе, которое необходимо для прогнозирования погоды на более чем несколько дней вперед. ЧПП использует математические модели атмосферы и океанов для предсказания погоды, исходя из существующих условий атмосферы и океанов. http://www.wmo.int/pages/prog/www/OSY/SOG/SoG-Global-NWP.pdf"
2,highResolutionNumericalWeatherPrediction,,,High-resolution numerical weather prediction (HRNWP),"High-resolution numerical weather prediction (HRNWP) covers forecasting of meteorological events over a limited area with a 1-5 km horizontal resolution, for 1 or 2 days ahead. Its high spatial resolutions allows: (i) to get more realistic descriptions of the surface and of atmospheric phenomena such as clouds and precipitation or boundary layer processes; and (ii) to use denser and more frequent observations than global NWP over the area of interest. http://www.wmo.int/pages/prog/www/OSY/SOG/SoG-HighRes-NWP.pdf",,Prévision numérique du temps à haute résolution,"La prévision numérique du temps à haute résolution englobe les prévisions des phénomènes météorologiques dont l’étendue se limite à une résolution horizontale de l’ordre de 1 à 5 km, à une échéance de 1 ou 2 jours. Une résolution spatiale élevée permet i) de fournir une description relativement réaliste des phénomènes à la surface et dans l’atmosphère, tels les nuages et les précipitations ou les processus de la couche limite, et ii) d’utiliser des observations dont la densité spatiale et temporelle est plus élevée que dans le cas de la prévision numérique du temps à l’échelle du globe, pour la région sur laquelle se porte l’intérêt. http://www.wmo.int/pages/prog/www/OSY/SOG/SoG-HighRes-NWP.pdf",,Predicción meteorológica numérica de alta resolución,"La predicción meteorológica numérica de alta resolución cubre el pronóstico de fenómenos meteorológicos en una zona limitada con una resolución horizontal de entre 1 km y 5 km, con 1 o 2 días de antelación. Su alta resolución espacial permite i) obtener descripciones más realistas de la superficie y de los fenómenos atmosféricos como las nubes y la precipitación o los procesos de la capa límite, i ii) utilizar observaciones más densas y frecuentes que las predicciones meteorológicas mundiales en la zona de interés. http://www.wmo.int/pages/prog/www/OSY/SOG/SoG-HighRes-NWP.pdf",,Численный прогноз погоды с высоким разрешением (ЧППВР),"Численный прогноз погоды с высоким разрешением (ЧППВР) охватывает прогнозирование метеорологических явлений над ограниченным районом с горизонтальным разрешением 1−5 км на один или два дня вперед. Его высокие пространственные разрешения позволяют i) получать более реалистичные описания поверхности и атмосферных явлений, таких как облака и осадки или процессы в пограничном слое, и ii) использовать более плотные и более частные наблюдения по сравнению с ЧПП над представляющим интерес районом. http://www.wmo.int/pages/prog/www/OSY/SOG/SoG-HighRes-NWP.pdf"
3,nowcasting,,,Nowcasting and very short-range forecasting (NVSRF),"Nowcasting and very short-range forecasting (NVSRF) covers the 0-12 hours forecasting range with high time and space resolution, focusing on rapid evolving phenomena like convection and using dedicated algorithms with combined relevant observed and model data, to produce forecasts usually near the surface, in a seamless way for the forecast range. http://www.wmo.int/pages/prog/www/OSY/SOG/SoG-Nowcasting-VSRF.pdf",,Prévision immédiate et à très courte échéance,"La prévision immédiate et à très courte échéance englobe les prévisions à échéance allant de 0 à 12 heures que caractérise une résolution temporelle et spatiale élevée et qui portent en particulier sur les phénomènes à évolution rapide tels les phénomènes de convection, et utilisent des algorithmes spéciaux qu’on alimente de données provenant tant de l’observation que de modèles, pour décrire les conditions prévues en général près de la surface, sans discontinuité sur l’échéance précisée. http://www.wmo.int/pages/prog/www/OSY/SOG/SoG-Nowcasting-VSRF.pdf",,Predicción inmediata y predicción  a muy corto plazo,"La predicción inmediata y la predicción a muy corto plazo cubren un rango de predicción de entre 0 y 12 horas con elevada resolución temporal y espacial; se centran en fenómenos de rápida evolución como la convección y utilizan algoritmos específicos que combinan datos importantes observados y obtenidos a partir de modelos para producir pronósticos normalmente cerca de la superficie, de manera ininterrumpida para el rango de predicción. http://www.wmo.int/pages/prog/www/OSY/SOG/SoG-Nowcasting-VSRF.pdf",,Прогнозирование текущей погоды и сверхкраткосрочное прогнозирование (ПТПСП),"Прогнозирование текущей погоды и сверхкраткосрочное прогнозирование (ПТПСП) охватывает диапазон прогнозирования 0−12 часов с высоким временным и пространственным разрешением, при этом главное внимание уделяется быстроменяющимся явлениям, таким как конвекция, использованию целевых алгоритмов с комбинированными соответствующими данными наблюдений и моделей, са тем чтобы выпускать прогнозы, обычно вблизи поверхности, беспрепятственно для диапазона прогнозирования. http://www.wmo.int/pages/prog/www/OSY/SOG/SoG-Nowcasting-VSRF.pdf"
4,seasonalForecasting,,,Sub-seasonal to longer predictions,"Sub-seasonal to longer predictions covers predictions in sub-seasonal to decadal time-ranges (roughly two weeks to 10 years), using numerical prediction models based on current and past observations and analyses. http://www.wmo.int/pages/prog/www/OSY/SOG/SoG-SSLP.pdf",,Prévision infrasaisonnière et à plus longue échéance ,"La prévision infrasaisonnière et à plus longue échéance englobe les prévisions dont l’échéance se situe entre une durée infrasaisonnière et la décennie (à peu près entre 2 semaines et 10 ans), qui sont obtenues grâce aux modèles de prévision numérique en se fondant sur les observations et les analyses présentes et passées. http://www.wmo.int/pages/prog/www/OSY/SOG/SoG-SSLP.pdf",,Predicciones de escala subestacional a escalas más largas,Las predicciones de escala subestacional a escalas más largas cubren los pronósticos de subestacionales a decenales (aproximadamente entre 2 semanas y 10 años) mediante modelos de predicción numérica basados en observaciones y análisis actuales y pasados. http://www.wmo.int/pages/prog/www/OSY/SOG/SoG-SSLP.pdf,,Субсезонные − более продолжительные − прогнозы,"Субсезонные − более продолжительные − прогнозы охватывают прогнозы в субсезонном 10-летнем масштабах (приблизительно от двух недель до 10 лет), используя модели численного прогнозирования, основанные на данных и анализах текущих и прошлых наблюдений. http://www.wmo.int/pages/prog/www/OSY/SOG/SoG-SSLP.pdf"
5,aeronauticalMeteorology,,,Aeronautical meteorology,"Aeronautical meteorology covers worldwide, reliable provision of high quality, timely and cost-effective meteorological services to aviation users.",,Météorologie aéronautique ,"La météorologie aéronautique englobe l’assistance météorologique à l’aviation, à savoir un service d’échelle mondiale, fiable, de grande qualité, fourni en temps voulu et d’un bon rapport coût-efficacité.",,Meteorología aeronáutica,"La meteorología aeronáutica cubre la prestación fidedigna de servicios meteorológicos de alta calidad, oportunos y rentables a los usuarios de la aviación en todo el mundo.",,Авиационная метеорология,"Авиационная метеорология включает предоставление во всем мире надежного, высококачественного, своевременного и рентабельного метеорологического обслуживания авиационным пользователям."
7,oceanApplications,,,Ocean applications,http://www.wmo.int/pages/prog/www/OSY/SOG/SoG-Ocean.pdf,,Applications océaniques,http://www.wmo.int/pages/prog/www/OSY/SOG/SoG-Ocean.pdf,,Aplicaciones oceánicas,http://www.wmo.int/pages/prog/www/OSY/SOG/SoG-Ocean.pdf,,Океанические применения,http://www.wmo.int/pages/prog/www/OSY/SOG/SoG-Ocean.pdf
8,agriculturalMeteorology,,,Agricultural meteorology,Agricultural Meteorology relates to specific weather and climate services addressed to the agricultural community to help develop sustainable agricultural production systems. http://www.wmo.int/pages/prog/www/OSY/SOG/SoG-Agriculture.pdf,,Météorologie agricole,La météorologie agricole englobe les services agrométéorologiques et agroclimatologiques destinés au monde de l’agriculture visant à contribuer au développement durable des systèmes de production agricole. http://www.wmo.int/pages/prog/www/OSY/SOG/SoG-Agriculture.pdf,,Meteorología agrícola,La meteorología agrícola tiene que ver con el tiempo específico y los servicios climáticos dirigidos a la comunidad agrícola con el fin de contribuir al desarrollo de sistemas de producción agrícola sostenibles. http://www.wmo.int/pages/prog/www/OSY/SOG/SoG-Agriculture.pdf,,Сельскохозяйственная метеорология,"Сельскохозяйственная метеорология связана с конкретным метеорологическим и климатическим обслуживанием, предоставляемым сельскохозяйственному сообществу с целью оказания содействия в создании устойчивых систем сельскохозяйственного производства. http://www.wmo.int/pages/prog/www/OSY/SOG/SoG-Agriculture.pdf"
9,hydrology,,,Hydrology,"Hydrology covers the assessment of the quantity and quality of water resources, both surface and groundwater (in support of the National Authorities responsible for water management in a wide range of activities), in order to meet the needs of society, to permit mitigation of water-related hazards, and to maintain or enhance the condition of the global environment. http://www.wmo.int/pages/prog/www/OSY/SOG/SOG-Hydrology.pdf",,Hydrologie,"L’hydrologie englobe l'évaluation la quantité et la qualité des ressources en eau, qu’elles soient sous terre ou en surface (à l’appui des autorités nationales chargées de la gestion de l’eau, dans toute une série d’activités), en vue de répondre aux besoins des populations, d’atténuer les risques liés à l’eau et de préserver ou d’améliorer l’environnement mondial. http://www.wmo.int/pages/prog/www/OSY/SOG/SOG-Hydrology.pdf",,Hidrología,"La hidrología se ocupa de la evaluación de la cantidad y la calidad de los recursos hídricos, tanto superficiales como subterráneos (en apoyo a las autoridades nacionales responsables de la gestión del agua en una amplia gama de actividades), con objeto de responder a las necesidades de la sociedad, contribuir a la atenuación de los riesgos relacionados con el agua y mantener o mejorar el estado del medio ambiente mundial. http://www.wmo.int/pages/prog/www/OSY/SOG/SOG-Hydrology.pdf",,Гидрология,"Гидрология включает оценку качества и количества водных ресурсов как поверхностных, так и грунтовых вод (в поддержку национальных органов, отвечающих за менеджмент водных ресурсов в рамках широкого круга деятельности) с целью удовлетворения потребностей общества, обеспечения уменьшения опасностей, связанных с водными объектами, и сохранения или улучшения глобальной окружающей среды. http://www.wmo.int/pages/prog/www/OSY/SOG/SOG-Hydrology.pdf"
10,climateMonitoring,,,"Climate monitoring (as supported through the Global Climate Observing System, GCOS)","GCOS, an internationally coordinated network of global observing systems for climate, is designed to meet the requirements for climate observations, which are essential to climate monitoring. Climate observations are fundamental to detect, model and assess climate change, support adaptation to climate change, monitor the effectiveness of policies for mitigating climate change, develop climate information services, promote sustainable national economic development and meet other requirements of the UNFCCC and other convention and agreements.",,"Surveillance du climat (par le Système mondial d’observation du climat, SMOC)","Le SMOC, un réseau de systèmes d'observation du climat, coordonné à l'échelon international, est conçu pour répondre aux besoins en observations climatologiques, indispensables à la surveillance du climat. Les observations du climat sont fondamentales, car elles permettent de détecter, modéliser et évaluer l’évolution du climat, d’appuyer les mesures d’adaptation au changement climatique, de contrôler l’efficacité des politiques d’atténuation des effets du changement climatique, de mettre en place des services d’information sur le climat, de promouvoir un développement économique durable au niveau national et de satisfaire à d’autres prescriptions de la CCNUCC et d’autres conventions et accords.",,"Vigilancia del clima (financiada con cargo al Sistema Mundial de Observación del Clima, SMOC)","El SMOC, una red de sistemas de observación mundial del clima coordinada internacionalmente, está concebido para responder a las requisitos de las observaciones climáticas, que son esenciales para la vigilancia del clima. Las observaciones climáticas son fundamentales para detectar, crear modelos y evaluar el cambio climático, respaldar las medidas de adaptación a dicho cambio climático, supervisar la eficacia de las políticas para mitigarlo, crear servicios de información climática, promover un desarrollo económico nacional sostenible y satisfacer otras necesidades de la CMNUCC y otros convenios y acuerdos.",,"Глобальный мониторинг (поддерживаемый через Глобальную систему наблюдений за климатом, ГСНК)","ГНСК − международно координируемая сеть глобальных систем наблюдений за климатом − предназначена для удовлетворения потребностей в климатических наблюдениях, которые имеют существенное значение для мониторинга климата. Климатические наблюдения являются фундаментальными для обнаружения, моделирования и оценки изменения климата, поддержки адаптации к изменению климата, мониторинга эффективности программ по смягчению воздействий изменения климата, развития климатических информационных служб, содействия устойчивому национальному экономическому развитию и соблюдению других требований РКИКООН и других конвенций и соглашений."
11,climateApplications,,,Climate applications,"Fosters the effective application of climate knowledge and information for the benefit of society and the provision of climate services, including the prediction of significant climate variations both natural and as a result of human activity. http://www.wmo.int/pages/prog/www/OSY/SOG/SoG-Climate- CCl.pdf",,Applications climatologiques,"Il s’agit de favoriser l’exploitation efficace du savoir et de l’information climatologiques au profit de la société et la fourniture de services climatologiques,  y compris des prévisions au sujet des variations marquantes du climat, tant naturelles qu’imputables aux activités humaines. http://www.wmo.int/pages/prog/www/OSY/SOG/SoG-Climate- CCl.pdf",,Aplicaciones climáticas,"Fomenta la aplicación eficaz de los conocimientos y la información climáticos en beneficio de la sociedad y la prestación de servicios climáticos, en particular la predicción de variaciones climáticas significativas, tanto naturales como resultantes de la actividad humana. http://www.wmo.int/pages/prog/www/OSY/SOG/SoG-Climate- CCl.pdf",,Климатические применения,"Способствуют эффективному использованию климатических знаний и информации на благо общества и предоставлению климатического обслуживания, включая предсказание значительных изменений климата − как естественных, так и в результате деятельности человека. http://www.wmo.int/pages/prog/www/OSY/SOG/SoG-Climate- CCl.pdf"
