@id,dct:description,rdf:type,rdfs:label,skos:notation
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/39>,'Density of the atmosphere.'@en,skos:Concept,Atmospheric density,'39'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/44>,''@en,skos:Concept,Integrated air samples,'44'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/56>,''@en,skos:Concept,Special phenomena,'56'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/57>,''@en,skos:Concept,State of ground,'57'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/179>,"'Fraction of the sky covered by clouds of a particular type or combination. It can refer to a genus, species, variety, layer, or a certain combination of clouds. Also, see \'cloud cover\'.'@en",skos:Concept,Cloud amount,'179'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/180>,"'The amount of sky estimated to be covered by a specified cloud type (partial cloud amount), or by all cloud types (total cloud amount). In either case, the estimate is made to the nearest okta (eighth) and is reported on a scale which is essentially one of the nearest eighth, except that figures 0 and 8 on the scale signify a completely clear and cloudy sky, respectively, with consequent adjustment to the adjacent 1 and 7 okta intervals.'@en",skos:Concept,Cloud cover,'180'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/181>,"'The area weighted mean radius of liquid water drops, assimilated to spheres of the same volume.'@en",skos:Concept,Cloud drop effective radius,'181'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/182>,'Number of cloud hydrometeors (or cloud particles) per unit volume. Cloud hydrometeors refer to liquid and/or ice cloud particles.'@en,skos:Concept,Cloud hydrometeor concentration,'182'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/183>,"'An ensemble mean size of cloud hydrometeors derived from size distribution. Cloud hydrometeors refer to liquid and/or ice cloud particles. For liquid phase clouds, the effective radius is defined as the area weighted mean radius of liquid water drops, assimilated to spheres of the same volume. The effective radius of cloud ice particles has been defined in the literature in different ways. Clear and detailed definition should be provided as how this parameter is derived.'@en",skos:Concept,Effective radius of cloud hydrometeors,'183'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/186>,'Depth of the atmospheric layer in cloud where liquid-solid states transform into each other.'@en,skos:Concept,Melting layer depth in clouds,'186'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/188>,'Polar Stratospheric Clouds occurrence. - Accuracy expressed as Hit Rate [HR] and False Alarm Rate [FAR]. Simplified: [FAR/HR]'@en,skos:Concept,PSC occurrence,'188'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/192>,"'IUPAC: methane, PubChem CID: 297, CAS Number: 74-82-8, in gas phase'@en",skos:Concept,CH4 (methane),'192'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/193>,"'IUPAC: methane C-13, PubChem CID: 105026, CAS Number: 14762-74-4, in gas phase'@en",skos:Concept,"CH4 (methane, C-13)",'193'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/194>,"'IUPAC: carbon dioxide, PubChem CID: 280, CAS Number: 124-38-9, in gas phase'@en",skos:Concept,CO2 (carbon dioxide),'194'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/195>,"'IUPAC: n/a, PubChem CID: 10129882, CAS Number: 1111-72-4, in gas phase'@en",skos:Concept,"CO2 (carbon dioxide, C-13)",'195'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/196>,'CO2 with O-18 isotope'@en,skos:Concept,CO2 [O-18],'196'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/201>,"'IUPAC: nitrous oxide, PubChem CID: 948, CAS Number: 10024-97-2, in gas phase'@en",skos:Concept,N2O (nitrous oxide),'201'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/203>,"'IUPAC: hexafluoro-Î»6-sulfane, PubChem CID: 17358, CAS Number: 2551-62-4, in gas phase'@en",skos:Concept,SF6 (sulfur hexafluoride),'203'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/204>,"'IUPAC: sulfuryl difluoride, PubChem CID: 17607, CAS Number: 2699-79-8, in gas phase'@en",skos:Concept,SO2F2 (sulfuryl fluoride),'204'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/205>,"'IUPAC: molecular hydrogen, PubChem CID: 783, CAS Number: 1333-74-0, in gas phase'@en",skos:Concept,H2 (hydrogen molecule),'205'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/206>,"'IUPAC: oxidane, PubChem CID: 962, CAS Number: 7732-18-5, in gas phase'@en",skos:Concept,H2O (as a chemical species),'206'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/207>,"'IUPAC: n/a, PubChem CID: 139859, CAS Number: 14940-63-7, in gas phase'@en",skos:Concept,HDO (as a chemical species),'207'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/210>,''@en,skos:Concept,Amount of precipitation,'210'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/211>,''@en,skos:Concept,Duration of precipitation,'211'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/212>,''@en,skos:Concept,Intensity of precipitation,'212'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/213>,''@en,skos:Concept,Occurrence of precipitation during last period (yes/no),'213'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/214>,''@en,skos:Concept,Rate of ice accretion,'214'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/215>,''@en,skos:Concept,Type of precipitation,'215'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/216>,''@en,skos:Concept,Atmospheric pressure,'216'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/217>,"'The pressure characteristic is an indication of how the pressure has changed during that period of time, for example, decreasing then increasing, or increasing and then increasing more rapidly.'@en",skos:Concept,Characteristic of pressure tendency,'217'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/218>,"'Pressure tendency is the character and amount of atmospheric pressure change for a three-hour or other specified period ending at the time of observation. Pressure tendency is composed of two parts, namely the characteristic of pressure tendency and amount of pressure tendency.'@en",skos:Concept,Pressure tendency,'218'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/219>,"'IUPAC: beryllium-7, PubChem CID: 6335489, CAS Number: 13966-02-4'@en",skos:Concept,Beryllium [Be-7],'219'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/220>,'CO2 with C-14 isotope'@en,skos:Concept,CO2 [C-14],'220'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/221>,"'IUPAC: krypton-85, PubChem CID: 104816, CAS Number: 13983-27-2'@en",skos:Concept,Krypton [Kr-85],'221'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/222>,"'IUPAC: lead-210, PubChem CID: 6328175, CAS Number: 14255-04-0'@en",skos:Concept,Lead [Pb-210],'222'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/223>,"'IUPAC: radon-222, PubChem CID: 61773, CAS Number: 14859-67-7'@en",skos:Concept,Radon [Rn-222],'223'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/224>,''@en,skos:Concept,Air temperature (at specified distance from reference surface),'224'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/225>,''@en,skos:Concept,Dew-point temperature (at specified distance from reference surface),'225'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/226>,''@en,skos:Concept,"Extreme temperature (min, max) (at specified distance from reference surface)",'226'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/229>,''@en,skos:Concept,Runway visual range,'229'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/230>,''@en,skos:Concept,Visibility,'230'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/248>,''@en,skos:Concept,"Transport calculations (e.g., trajectories)",'248'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/249>,'Kinetic energy density of turbulent motion of the air'@en,skos:Concept,Turbulence,'249'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/250>,''@en,skos:Concept,Turbulence type (low levels and wake vortex),'250'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/252>,''@en,skos:Concept,Integrated water vapour,'252'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/253>,''@en,skos:Concept,Mass mixing ratio,'253'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/254>,''@en,skos:Concept,Object wetness duration,'254'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/255>,''@en,skos:Concept,Water vapour pressure,'255'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/257>,'Current incurred by the lightning discharge.'@en,skos:Concept,Lightning discharge current,'257'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/258>,'Polarity of the charge effectively lowered to ground during a lightning discharge.'@en,skos:Concept,Lightning discharge polarity,'258'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/259>,'Number of lightning discharges per unit time in a given region (e.g. world-wide) or for a given storm system (e.g. a thunderstorm cell).'@en,skos:Concept,Lightning discharge rate,'259'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/260>,"'Lightning discharge type, defined by the path of the lightning discharge: between two clouds or within the same cloud (intra-cloud) or between cloud and ground (cloud-to-ground).'@en",skos:Concept,"Lightning discharge type (cloud to cloud, cloud to surface)",'260'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/265>,"'Predominant characteristic of weather which had existed at the station during a given period of time. [Manual on Codes (WMO-No. 306), Volume I.1. 2011 edition updated in 2019.]'@en",skos:Concept,Past weather,'265'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/266>,"'Weather existing at the time of observation, or under certain conditions, during the hour preceding the time of observation. [Manual on Codes (WMO-No. 306), Volume I.1. 2011 edition updated in 2019.]'@en",skos:Concept,Present weather,'266'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/267>,'Luminous flux received from the background per unit solid angle and per unit area. Note: Luminous flux is a quantity derived from radiant flux by evaluating the radiation according to its action upon the International Commission on Illumination standard photometric observer.'@en,skos:Concept,Background luminance,'267'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/270>,'The total time in one day during which the direct solar irradiance is equal to or more than the threshold value for bright sunshine (the threshold being 120 W m-2 of direct solar irradiance).'@en,skos:Concept,Sunshine duration,'270'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/271>,'Hemispherically integrated reflectance of the Earth surface in the range 0.4-0.7 Âµm.'@en,skos:Concept,Surface albedo,'271'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/273>,'Ultraviolet radiation covering the range 280-315 nm.'@en,skos:Concept,UV-B radiation,'273'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/274>,"'IUPAC: n/a, PubChem CID: 5460627, CAS Number: 15656-19-6, in gas phase'@en",skos:Concept,BrO (bromine monoxide),'274'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/275>,"'IUPAC: 1,1,2,2-tetrachloroethene, PubChem CID: 31373, CAS Number: 127-18-4, in gas phase'@en",skos:Concept,C2Cl4 (tetrachloroethene),'275'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/276>,"'IUPAC: 1,1,2-trichloroethene, PubChem CID: 6575, CAS Number: 79-01-6, in gas phase'@en",skos:Concept,C2HCl3 (trichloroethene),'276'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/277>,"'IUPAC: dibromomethane, PubChem CID: 3024, CAS Number: 74-95-3, in gas phase'@en",skos:Concept,CH2Br2 (dibromomethane),'277'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/278>,"'IUPAC: dichloromethane, PubChem CID: 6344, CAS Number: 75-09-2, in gas phase'@en",skos:Concept,CH2Cl2 (dichloromethane),'278'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/279>,"'IUPAC: bromomethane, PubChem CID: 6323, CAS Number: 74-83-9, in gas phase'@en",skos:Concept,CH3Br (bromomethane),'279'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/280>,"'IUPAC: chloromethane, PubChem CID: 6327, CAS Number: 74-87-3, in gas phase'@en",skos:Concept,CH3Cl (chloromethane),'280'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/281>,"'IUPAC: iodomethane, PubChem CID: 6328, CAS Number: 74-88-4, in gas phase'@en",skos:Concept,CH3I (iodomethane),'281'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/282>,"'IUPAC: bromoform, PubChem CID: 5558, CAS Number: 75-25-2, in gas phase'@en",skos:Concept,CHBr3 (bromoform),'282'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/283>,"'IUPAC: chloroform, PubChem CID: 6212, CAS Number: 67-66-3, in gas phase'@en",skos:Concept,"CHCl3 (trichloromethane, chloroform)",'283'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/284>,"'IUPAC: carbon monoxide, PubChem CID: 281, CAS Number: 630-08-0, in gas phase'@en",skos:Concept,CO,'284'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/285>,"'IUPAC: carbonyl difluoride, PubChem CID: 9623, CAS Number: 353-50-4, in gas phase'@en",skos:Concept,"COF2 (difluoromethanal, carbonyl fluoride)",'285'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/286>,"'IUPAC: n/a, PubChem CID: 166686, CAS Number: 14989-30-1, in gas phase'@en",skos:Concept,ClO (chlorine monoxide),'286'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/287>,"'IUPAC: hydrogen peroxide, PubChem CID: 784, CAS Number: 7722-84-1, in gas phase'@en",skos:Concept,H2O2 (hydrogen peroxide),'287'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/288>,"'IUPAC: chlorane, PubChem CID: 313, CAS Number: 7647-01-0, in gas phase'@en",skos:Concept,HCl (hydrochloric acid),'288'
